Year,Position,Name,ALRAS,RAS
2005,QB,Derek Anderson,2.37,3.51
1989,QB,Todd Philcox,1.55,3.5
2012,QB,Tyler Hansen,3.18,3.5
2014,QB,Keith Wenning,3.52,3.5
2000,QB,Todd Husak,1.64,3.49
2013,QB,Matt McGloin,3.28,3.47
2009,QB,John Parker Wilson,2.71,3.46
2019,QB,Dwayne Haskins,3.46,3.46
2002,QB,Kurt Kittner,1.76,3.45
2005,QB,Gino Guidugli,2.08,3.44
2019,QB,Devlin Hodges,3.42,3.42
2014,QB,Keith Price,3.31,3.38
2018,QB,Mitch Kimble,3.44,3.37
2019,QB,Anthony Lawrence,3.37,3.37
2012,QB,John Brantley,2.89,3.36
2019,QB,Myles Hughes,3.35,3.35
2018,QB,Matt Linehan,3.26,3.31
1996,QB,Josh Nelson,1.59,3.27
2005,QB,Timmy Chang,2.12,3.26
2014,QB,Adam Kennedy,2.99,3.26
2016,QB,Nate Sudfeld,3.22,3.26
2000,QB,Tim Lester,1.58,3.25
1991,QB,Matthew Degennaro,0.89,3.24
2014,QB,Tom Savage,2.93,3.22
2019,QB,Ross Comis,3.2,3.2
2018,QB,Shane Morris,3.15,3.19
1998,QB,Ron Powlus,0.86,3.18
2015,QB,Sean Mannion,3.09,3.17
1990,QB,Mike Buck,1.17,3.16
2017,QB,Bart Houston,3.27,3.16
1992,QB,Jeff Bender,1.3,3.09
1987,QB,Shawn Halloran,0.78,3.08
2018,QB,Kyle Bolin,3.13,3.08
2019,QB,Justice Hansen,3.05,3.05
1997,QB,Steve Sarkisian,0.96,3.04
2016,QB,Joe Licata,3.11,3.04
2018,QB,John OKorn,3.02,3.02
1994,QB,Gus Frerotte,1.29,3.01
1989,QB,Billy Joe Tolliver,1.13,3
1993,QB,Jeff Loots,1.46,3
2007,QB,Josh Swogger,2.12,2.93
2017,QB,Cooper Rush,2.97,2.92
2014,QB,Casey Pachall,2.76,2.89
1995,QB,Ed Daniels,1.08,2.84
2017,QB,Dane Evans,2.98,2.84
1993,QB,Troy Kopp,1.05,2.82
2018,QB,Malik Zaire,2.81,2.81
2013,QB,Mike Glennon,2.45,2.78
1992,QB,Andy Kelly,1.15,2.77
1998,QB,Ryan Clement,0.94,2.77
